datatype,granularity,bits,num_channels,groups_per_channel,mse_tensor,mse_rep,mse_p99
int8_asym,per-group,8,2048,16,6.39290620441102e-09,6.3929045095319735e-09,3.92749559097183e-08
fp8_e3m4,per-group,8,2048,16,2.3422849437793047e-08,2.3422846648073095e-08,7.444258962152601e-08
fp8_e4m3,per-group,8,2048,16,9.418115354264955e-08,9.41811460570467e-08,2.9980117773220626e-07
int8,per-group,8,2048,16,8.620872016251724e-09,8.620869216763787e-09,7.691052637426305e-08
