datatype,granularity,bits,num_channels,groups_per_channel,mse_tensor,mse_rep,mse_p99
int8_asym,per-channel,8,2048,,1.7898143411798628e-08,1.7898143935793538e-08,1.57285418254105e-07
fp8_e3m4,per-channel,8,2048,,2.5844157036658544e-08,2.5844160222478207e-08,7.205208888194647e-08
fp8_e4m3,per-channel,8,2048,,1.0246609605246704e-07,1.0246613764766654e-07,2.782111724286551e-07
int8,per-channel,8,2048,,2.216216543615701e-08,2.2162159084900684e-08,1.8909215057760775e-07
